SQLDATE,a1,a2,GoldsteinScale
20000101,CHN,USA,-0.4
20000101,CHN,USA,1.9
20000101,CHN,USA,2.8
20000101,CHN,USA,4.0
20000101,CHN,USA,4.0
20000101,USA,CHN,1.9
20000101,USA,CHN,1.9
20000101,USA,CHN,3.0
20000101,USA,CHN,2.8
20000101,USA,CHN,1.9
20000101,USA,CHN,4.0
20000101,CHN,USA,2.8
20000101,USA,CHN,2.8
20000101,USA,CHN,2.8
20000101,USA,CHN,-0.4
20000101,CHN,USA,6.4
20000101,CHN,USA,1.9
20000101,CHN,USA,2.8
20000101,CHN,USA,1.9
20000101,CHN,USA,2.8
20000101,CHN,USA,-0.4
20000101,USA,CHN,1.9
20000101,USA,CHN,6.0
20000103,CHN,USA,5.2
20000103,USA,CHN,8.0
20000103,CHN,USA,4.0
20000103,CHN,USA,-2.0
20000103,CHN,USA,-2.0
20000103,CHN,USA,0.0
20000103,CHN,USA,8.0
20000103,CHN,USA,5.2
20000103,USA,CHN,-2.0
20000103,USA,CHN,4.0
20000103,CHN,USA,0.0
20000103,CHN,USA,0.0
20000103,USA,CHN,-2.0
20000104,USA,CHN,4.0
20000104,CHN,USA,1.0
20000104,CHN,USA,4.0
20000104,CHN,USA,1.9
20000104,CHN,USA,4.0
20000104,USA,CHN,2.8
20000104,USA,CHN,1.0
20000104,USA,CHN,4.0
20000104,CHN,USA,1.9
20000104,USA,CHN,2.8
20000104,USA,CHN,4.0
20000104,USA,CHN,-5.0
20000104,CHN,USA,4.0
20000104,USA,CHN,-5.0
20000105,USA,CHN,2.8
20000105,USA,CHN,1.0
20000105,CHN,USA,-2.0
20000105,CHN,USA,2.8
20000105,USA,CHN,1.9
20000105,CHN,USA,-0.4
20000105,USA,CHN,8.0
20000105,USA,CHN,1.9
20000105,CHN,USA,6.0
20000105,USA,CHN,2.8
20000105,CHN,USA,0.0
20000105,USA,CHN,1.9
20000105,CHN,USA,1.9
20000105,USA,CHN,2.8
20000105,USA,CHN,2.8
20000105,CHN,USA,5.2
20000105,USA,CHN,0.0
20000105,USA,CHN,5.0
20000105,CHN,USA,6.4
20000105,CHN,USA,1.9
20000105,USA,CHN,0.0
20000105,CHN,USA,6.0
20000105,CHN,USA,2.8
20000105,CHN,USA,8.0
20000105,USA,CHN,8.0
20000105,CHN,USA,8.0
20000105,CHN,USA,7.0
20000105,CHN,USA,1.0
20000105,CHN,USA,-5.0
20000105,CHN,USA,1.9
20000105,CHN,USA,0.0
20000105,USA,CHN,8.0
20000105,CHN,USA,1.9
20000105,USA,CHN,2.8
20000105,CHN,USA,2.8
20000105,USA,CHN,5.0
20000105,CHN,USA,1.9
20000105,CHN,USA,0.0
20000105,USA,CHN,1.9
20000105,USA,CHN,1.9
20000105,CHN,USA,1.9
20000105,USA,CHN,3.4
20000105,CHN,USA,1.0
20000105,CHN,USA,1.9
20000105,USA,CHN,1.9
20000105,CHN,USA,0.0
20000105,USA,CHN,1.0
20000105,USA,CHN,3.4
20000106,CHN,USA,5.2
20000106,CHN,USA,-5.0
20000106,CHN,USA,-2.0
20000106,USA,CHN,7.0
20000106,CHN,USA,-2.0
20000106,CHN,USA,3.5
20000106,CHN,USA,-4.0
20000106,USA,CHN,9.0
20000106,USA,CHN,4.0
20000106,CHN,USA,5.2
20000106,USA,CHN,-4.0
20000106,USA,CHN,-4.0
20000106,CHN,USA,-5.0
20000106,CHN,USA,4.0
20000106,USA,CHN,-2.0
20000106,CHN,USA,5.2
20000106,USA,CHN,3.5
20000106,CHN,USA,6.4
20000106,CHN,USA,-2.0
20000106,USA,CHN,4.0
20000106,CHN,USA,-2.0
20000106,USA,CHN,-5.0
20000106,CHN,USA,-5.0
20000106,CHN,USA,5.2
20000106,CHN,USA,2.8
20000106,USA,CHN,-5.0
20000106,USA,CHN,-5.0
20000106,CHN,USA,-5.0
20000106,USA,CHN,-2.0
20000106,USA,CHN,9.0
20000106,USA,CHN,3.5
20000106,CHN,USA,-2.0
20000106,USA,CHN,7.0
20000106,CHN,USA,3.5
20000106,CHN,USA,3.5
20000106,USA,CHN,7.0
20000106,USA,CHN,1.9
20000106,CHN,USA,5.2
20000106,CHN,USA,5.2
20000106,CHN,USA,0.4
20000106,CHN,USA,-2.0
20000106,USA,CHN,9.0
20000106,CHN,USA,3.5
20000106,USA,CHN,-5.0
20000106,USA,CHN,-2.0
20000106,CHN,USA,-5.0
20000106,USA,CHN,-5.0
20000106,USA,CHN,0.0
20000106,USA,CHN,0.0
20000106,CHN,USA,6.4
20000107,CHN,USA,3.5
20000107,CHN,USA,-5.0
20000107,USA,CHN,-2.0
20000107,CHN,USA,5.2
20000107,USA,CHN,-5.0
20000107,USA,CHN,-5.0
20000107,CHN,USA,-5.0
20000107,CHN,USA,3.5
20000107,USA,CHN,-2.0
20000107,CHN,USA,-5.0
20000107,CHN,USA,3.5
20000108,CHN,USA,7.4
20000108,USA,CHN,4.0
20000108,USA,CHN,0.0
20000108,USA,CHN,8.0
20000108,USA,CHN,0.0
20000108,USA,CHN,4.0
20000108,USA,CHN,0.0
20000108,CHN,USA,8.0
20000108,CHN,USA,4.0
20000108,USA,CHN,4.0
20000108,CHN,USA,-2.0
20000108,CHN,USA,4.0
20000108,CHN,USA,7.4
20000108,CHN,USA,8.0
20000109,USA,CHN,3.4
20000109,USA,CHN,1.9
20000109,USA,CHN,1.9
20000109,CHN,USA,-2.0
20000109,CHN,USA,2.8
20000109,CHN,USA,-4.4
20000109,CHN,USA,2.8
20000109,USA,CHN,3.5
20000109,USA,CHN,1.9
20000109,USA,CHN,3.4
20000109,USA,CHN,0.0
20000109,USA,CHN,1.9
20000109,USA,CHN,0.0
20000109,CHN,USA,-4.4
20000109,USA,CHN,0.0
20000109,CHN,USA,7.0
20000109,CHN,USA,-2.0
20000109,CHN,USA,2.8
20000110,USA,CHN,-2.0
20000110,CHN,USA,3.5
20000110,USA,CHN,0.0
20000110,CHN,USA,3.5
20000110,USA,CHN,3.5
20000110,CHN,USA,1.0
20000110,CHN,USA,1.0
20000110,USA,CHN,4.0
20000110,USA,CHN,1.0
20000110,CHN,USA,-2.0
20000110,USA,CHN,3.5
20000110,CHN,USA,3.0
20000110,CHN,USA,-2.0
20000110,USA,CHN,3.5
20000110,CHN,USA,2.8
20000110,USA,CHN,1.9
20000110,CHN,USA,1.0
20000110,USA,CHN,3.0
20000110,USA,CHN,3.0
20000110,CHN,USA,-5.0
20000110,CHN,USA,5.2
20000110,CHN,USA,4.0
20000110,USA,CHN,3.5
20000110,USA,CHN,0.0
20000110,CHN,USA,0.4
20000110,CHN,USA,3.0
20000110,USA,CHN,2.8
20000110,USA,CHN,2.8
20000110,CHN,USA,1.9
20000110,CHN,USA,3.5
20000110,USA,CHN,1.0
20000110,USA,CHN,2.8
20000110,CHN,USA,-2.0
20000110,USA,CHN,4.0
20000110,CHN,USA,-2.0
20000110,CHN,USA,4.0
20000110,CHN,USA,1.0
20000110,CHN,USA,1.9
20000110,CHN,USA,1.9
20000110,CHN,USA,-5.0
20000110,USA,CHN,4.0
20000110,USA,CHN,-2.0
20000111,USA,CHN,3.0
20000111,CHN,USA,0.0
20000111,CHN,USA,1.0
20000111,CHN,USA,1.0
20000111,USA,CHN,8.0
20000111,CHN,USA,1.0
20000111,CHN,USA,1.0
20000111,USA,CHN,8.0
20000111,USA,CHN,1.0
20000111,CHN,USA,-2.0
20000111,CHN,USA,-2.0
20000111,CHN,USA,-10.0
20000111,USA,CHN,-2.0
20000111,CHN,USA,1.0
20000111,USA,CHN,7.0
20000111,USA,CHN,3.0
20000111,USA,CHN,0.0
20000111,CHN,USA,1.0
20000111,CHN,USA,1.0
20000111,CHN,USA,1.0
20000111,USA,CHN,1.0
20000111,USA,CHN,0.0
20000111,USA,CHN,8.0
20000111,USA,CHN,1.0
20000111,USA,CHN,3.5
20000111,CHN,USA,-5.0
20000111,CHN,USA,1.0
20000111,CHN,USA,-10.0
20000111,CHN,USA,7.0
20000111,CHN,USA,8.0
20000111,CHN,USA,1.0
20000111,USA,CHN,1.0
20000111,CHN,USA,4.0
20000111,USA,CHN,1.0
20000111,USA,CHN,-2.0
20000111,CHN,USA,1.0
20000111,CHN,USA,8.0
20000111,USA,CHN,1.0
20000111,USA,CHN,1.0
20000111,USA,CHN,1.0
20000111,USA,CHN,1.0
20000111,CHN,USA,8.0
20000111,USA,CHN,3.0
20000111,USA,CHN,3.5
20000111,USA,CHN,1.0
20000111,CHN,USA,1.0
20000112,USA,CHN,-0.4
20000112,CHN,USA,-5.0
20000112,USA,CHN,4.0
20000112,USA,CHN,-0.4
20000112,CHN,USA,-4.4
20000112,USA,CHN,3.4
20000112,USA,CHN,-2.0
20000112,USA,CHN,-0.4
20000112,CHN,USA,7.0
20000112,CHN,USA,-2.0
20000112,USA,CHN,-0.4
20000112,CHN,USA,0.0
20000112,USA,CHN,7.0
20000112,USA,CHN,7.0
20000112,USA,CHN,4.0
20000112,USA,CHN,-5.0
20000112,USA,CHN,5.0
20000112,USA,CHN,-5.0
20000112,CHN,USA,2.8
20000112,CHN,USA,3.4
20000112,CHN,USA,7.0
20000112,USA,CHN,-5.0
20000112,USA,CHN,4.0
20000112,USA,CHN,-5.0
20000112,CHN,USA,-2.0
20000112,CHN,USA,0.0
20000112,USA,CHN,-9.5
20000112,CHN,USA,1.9
20000112,CHN,USA,-2.0
20000112,USA,CHN,3.4
20000112,CHN,USA,1.9
20000112,CHN,USA,-5.0
20000112,USA,CHN,-2.0
20000112,CHN,USA,-2.0
20000112,CHN,USA,-2.0
20000112,USA,CHN,-2.0
20000112,USA,CHN,-5.0
20000112,CHN,USA,-2.0
20000112,CHN,USA,-2.0
20000112,CHN,USA,-5.0
20000112,USA,CHN,7.0
20000112,CHN,USA,-5.0
20000112,USA,CHN,-4.0
20000112,USA,CHN,1.9
20000112,CHN,USA,3.4
20000112,USA,CHN,1.9
20000112,USA,CHN,2.8
20000112,CHN,USA,-5.0
20000112,CHN,USA,2.8
20000112,CHN,USA,6.4
20000112,CHN,USA,-5.0
20000112,CHN,USA,-2.0
20000112,CHN,USA,-2.0
20000112,CHN,USA,-2.0
20000112,CHN,USA,7.0
20000112,CHN,USA,-5.0
20000112,CHN,USA,3.4
20000112,USA,CHN,-0.4
20000112,USA,CHN,3.0
20000112,CHN,USA,-2.0
20000112,USA,CHN,-6.5
20000112,CHN,USA,3.4
20000112,USA,CHN,-5.0
20000112,USA,CHN,-2.0
20000112,CHN,USA,-2.0
20000112,USA,CHN,2.8
20000112,CHN,USA,-2.0
20000112,USA,CHN,-5.0
20000112,USA,CHN,-2.0
20000112,CHN,USA,7.0
20000112,CHN,USA,-4.4
20000113,CHN,USA,-5.0
20000113,CHN,USA,1.9
20000113,USA,CHN,7.0
20000113,CHN,USA,1.9
20000113,USA,CHN,2.8
20000113,USA,CHN,-2.0
20000113,CHN,USA,1.0
20000113,USA,CHN,1.0
20000113,USA,CHN,-10.0
20000113,CHN,USA,3.4
20000113,USA,CHN,4.0
20000113,USA,CHN,0.0
20000113,CHN,USA,-0.3
20000113,USA,CHN,3.2
20000113,USA,CHN,4.0
20000113,USA,CHN,3.4
20000113,CHN,USA,1.9
20000113,CHN,USA,-2.0
20000113,USA,CHN,-2.0
20000113,CHN,USA,-5.0
20000113,USA,CHN,0.0
20000113,USA,CHN,6.4
20000113,USA,CHN,0.0
20000113,USA,CHN,2.8
20000113,CHN,USA,1.9
20000113,USA,CHN,3.0
20000113,USA,CHN,-2.0
20000113,USA,CHN,1.0
20000113,CHN,USA,2.8
20000113,USA,CHN,2.8
20000113,USA,CHN,4.0
20000113,USA,CHN,7.0
20000113,CHN,USA,-5.0
20000113,USA,CHN,-10.0
20000113,USA,CHN,3.8
20000113,USA,CHN,1.9
20000113,USA,CHN,5.0
20000113,USA,CHN,6.4
20000113,USA,CHN,-10.0
20000113,CHN,USA,-2.0
20000113,CHN,USA,1.9
20000113,USA,CHN,-2.0
20000113,USA,CHN,6.0
20000113,USA,CHN,-2.0
20000113,USA,CHN,4.0
20000113,USA,CHN,2.8
20000113,CHN,USA,7.4
20000113,USA,CHN,3.5
20000113,USA,CHN,3.2
20000113,USA,CHN,2.8
20000113,CHN,USA,-0.3
20000113,USA,CHN,3.5
20000113,USA,CHN,3.5
20000113,USA,CHN,2.8
20000113,USA,CHN,3.4
20000113,USA,CHN,1.9
20000113,CHN,USA,-2.0
20000113,USA,CHN,1.0
20000113,CHN,USA,-2.0
20000113,USA,CHN,4.0
20000113,CHN,USA,1.9
20000113,CHN,USA,3.0
20000113,USA,CHN,-2.0
20000113,USA,CHN,-2.0
20000113,USA,CHN,-2.0
20000113,USA,CHN,4.0
20000113,USA,CHN,0.0
20000113,USA,CHN,5.0
20000113,USA,CHN,3.4
20000113,CHN,USA,7.4
20000113,CHN,USA,2.8
20000113,CHN,USA,-5.0
20000113,CHN,USA,-5.0
20000113,USA,CHN,0.0
20000113,CHN,USA,4.0
20000113,CHN,USA,1.0
20000113,USA,CHN,3.4
20000113,USA,CHN,-2.0
20000113,CHN,USA,2.8
20000113,CHN,USA,1.0
20000113,USA,CHN,-2.0
20000113,USA,CHN,0.0
20000113,USA,CHN,-2.0
20000113,CHN,USA,4.0
20000114,USA,CHN,1.0
20000114,USA,CHN,7.0
20000114,CHN,USA,-4.4
20000114,USA,CHN,-4.4
20000114,CHN,USA,-2.0
20000114,CHN,USA,7.0
20000114,USA,CHN,-5.0
20000114,CHN,USA,2.8
20000114,USA,CHN,1.9
20000114,USA,CHN,2.8
20000114,USA,CHN,-4.0
20000114,USA,CHN,-4.4
20000114,CHN,USA,-2.0
20000114,USA,CHN,1.0
20000114,USA,CHN,-5.0
20000114,CHN,USA,7.0
20000114,CHN,USA,2.8
20000114,CHN,USA,1.0
20000114,USA,CHN,-5.0
20000114,USA,CHN,-5.0
20000114,USA,CHN,3.5
20000114,CHN,USA,3.5
20000114,CHN,USA,2.8
20000114,USA,CHN,-4.4
20000114,USA,CHN,7.0
20000114,USA,CHN,-4.0
20000114,CHN,USA,7.0
20000114,USA,CHN,7.0
20000114,USA,CHN,7.0
20000114,CHN,USA,3.4
20000114,USA,CHN,1.9
20000114,USA,CHN,-5.0
20000114,USA,CHN,-4.4
20000114,CHN,USA,-4.4
20000114,USA,CHN,1.9
20000114,USA,CHN,-4.4
20000114,CHN,USA,2.8
20000114,USA,CHN,1.9
20000114,CHN,USA,-2.0
20000114,USA,CHN,-5.0
20000114,USA,CHN,1.9
20000114,USA,CHN,-5.0
20000114,USA,CHN,-5.0
20000114,CHN,USA,1.0
20000114,CHN,USA,1.9
20000114,CHN,USA,2.8
20000114,CHN,USA,2.8
20000114,USA,CHN,7.0
20000114,USA,CHN,3.0
20000114,CHN,USA,1.0
20000114,CHN,USA,-2.0
20000114,USA,CHN,1.9
20000114,USA,CHN,1.9
20000115,USA,CHN,1.0
20000115,USA,CHN,1.0
20000115,CHN,USA,4.0
20000115,USA,CHN,-5.0
20000115,CHN,USA,1.0
20000115,USA,CHN,-5.0
20000115,USA,CHN,1.0
20000115,USA,CHN,1.9
20000115,USA,CHN,-5.0
20000115,CHN,USA,4.0
20000115,USA,CHN,7.0
20000115,CHN,USA,7.0
20000115,CHN,USA,4.0
20000115,CHN,USA,1.0
20000115,CHN,USA,2.8
20000115,CHN,USA,1.0
20000115,CHN,USA,2.8
20000115,USA,CHN,-5.0
20000115,CHN,USA,4.0
20000115,USA,CHN,1.9
20000116,CHN,USA,-7.0
20000116,USA,CHN,8.0
20000116,CHN,USA,7.0
20000116,USA,CHN,7.0
20000116,CHN,USA,1.0
20000116,CHN,USA,-7.0
20000116,CHN,USA,4.0
20000116,CHN,USA,4.0
20000116,USA,CHN,8.0
20000116,CHN,USA,3.5
20000116,USA,CHN,3.5
20000116,USA,CHN,4.0
20000116,CHN,USA,3.5
20000116,CHN,USA,4.0
20000116,USA,CHN,7.0
20000116,USA,CHN,1.0
20000116,CHN,USA,4.0
20000116,CHN,USA,7.0
20000116,USA,CHN,4.0
20000116,USA,CHN,1.0
20000116,USA,CHN,3.5
20000116,USA,CHN,3.5
20000116,CHN,USA,1.0
20000116,CHN,USA,3.5
20000117,USA,CHN,8.0
20000117,USA,CHN,-2.0
20000117,USA,CHN,-2.0
20000117,CHN,USA,0.4
20000117,CHN,USA,1.9
20000117,USA,CHN,3.0
20000117,USA,CHN,4.0
20000117,USA,CHN,5.0
20000117,CHN,USA,0.4
20000117,USA,CHN,-2.0
20000117,USA,CHN,5.0
20000117,USA,CHN,-5.0
20000117,CHN,USA,3.5
20000117,CHN,USA,7.0
20000117,CHN,USA,8.0
20000117,USA,CHN,7.0
20000117,CHN,USA,0.4
20000117,USA,CHN,4.0
20000117,CHN,USA,8.0
20000117,CHN,USA,7.0
20000117,USA,CHN,0.0
20000117,USA,CHN,0.0
20000117,CHN,USA,1.0
20000117,USA,CHN,-2.0
20000117,USA,CHN,-2.0
20000117,USA,CHN,-2.0
20000117,CHN,USA,8.0
20000117,CHN,USA,0.4
20000117,USA,CHN,2.8
20000117,USA,CHN,8.0
20000117,CHN,USA,1.9
20000117,USA,CHN,2.8
20000117,CHN,USA,4.0
20000117,USA,CHN,4.0
20000117,USA,CHN,8.0
20000117,CHN,USA,8.0
20000117,CHN,USA,-5.0
20000117,USA,CHN,7.0
20000117,CHN,USA,4.0
20000117,USA,CHN,2.8
20000117,CHN,USA,-5.0
20000117,CHN,USA,4.0
20000117,CHN,USA,0.4
20000117,USA,CHN,-4.4
20000117,CHN,USA,1.9
20000117,USA,CHN,2.8
20000117,USA,CHN,5.0
20000117,CHN,USA,0.4
20000117,USA,CHN,7.0
20000117,USA,CHN,0.0
20000117,USA,CHN,5.0
20000117,USA,CHN,3.5
20000117,CHN,USA,1.9
20000117,CHN,USA,7.0
20000117,USA,CHN,8.0
20000117,USA,CHN,3.0
20000117,CHN,USA,0.4
20000117,CHN,USA,1.9
20000117,USA,CHN,-2.0
20000117,USA,CHN,4.0
20000117,USA,CHN,1.0
20000117,CHN,USA,0.4
20000117,CHN,USA,-5.0
20000117,USA,CHN,4.0
20000117,CHN,USA,-2.0
20000117,USA,CHN,2.8
20000117,CHN,USA,4.0
20000117,USA,CHN,-2.0
20000117,USA,CHN,-4.4
20000117,USA,CHN,5.0
20000118,CHN,USA,7.0
20000118,CHN,USA,-2.0
20000118,USA,CHN,3.5
20000118,USA,CHN,-0.4
20000118,USA,CHN,-2.0
20000118,USA,CHN,2.8
20000118,USA,CHN,2.8
20000118,CHN,USA,7.0
20000118,CHN,USA,-4.4
20000118,CHN,USA,7.0
20000118,USA,CHN,3.4
20000118,CHN,USA,0.0
20000118,USA,CHN,1.0
20000118,USA,CHN,3.4
20000118,USA,CHN,7.0
20000118,CHN,USA,-4.4
20000118,USA,CHN,-0.4
20000118,CHN,USA,1.9
20000118,USA,CHN,1.0
20000118,CHN,USA,0.0
20000118,USA,CHN,2.8
20000118,CHN,USA,1.9
20000118,USA,CHN,2.8
20000118,USA,CHN,2.8
20000118,CHN,USA,1.0
20000118,CHN,USA,3.5
20000118,CHN,USA,1.9
20000118,CHN,USA,7.0
20000118,USA,CHN,7.0
20000118,USA,CHN,1.0
20000118,CHN,USA,3.4
20000118,USA,CHN,8.0
20000118,USA,CHN,-0.4
20000118,USA,CHN,3.5
20000118,CHN,USA,1.0
20000118,USA,CHN,-2.0
20000118,CHN,USA,7.0
20000118,CHN,USA,8.0
20000118,CHN,USA,-2.0
20000118,CHN,USA,8.0
20000118,CHN,USA,1.0
20000118,USA,CHN,8.0
20000118,USA,CHN,3.4
20000118,CHN,USA,3.5
20000118,USA,CHN,7.0
20000118,USA,CHN,2.8
20000118,CHN,USA,-2.0
20000118,CHN,USA,7.0
20000118,USA,CHN,-0.4
20000118,CHN,USA,1.0
20000118,CHN,USA,0.0
20000118,CHN,USA,7.0
20000118,USA,CHN,1.0
20000118,CHN,USA,7.0
20000118,USA,CHN,7.0
20000118,USA,CHN,7.0
20000118,CHN,USA,1.9
20000118,USA,CHN,-2.0
20000118,CHN,USA,0.0
20000118,CHN,USA,3.4
20000119,USA,CHN,3.2
20000119,USA,CHN,6.0
20000119,CHN,USA,1.0
20000119,CHN,USA,1.0
20000119,USA,CHN,0.0
20000119,USA,CHN,5.2
20000119,CHN,USA,2.8
20000119,USA,CHN,6.0
20000119,CHN,USA,-5.0
20000119,USA,CHN,6.0
20000119,USA,CHN,3.2
20000119,USA,CHN,0.0
20000119,CHN,USA,6.0
20000119,CHN,USA,0.0
20000119,USA,CHN,5.2
20000119,USA,CHN,-5.0
20000119,CHN,USA,0.0
20000119,CHN,USA,0.4
20000119,CHN,USA,1.0
20000119,CHN,USA,1.0
20000119,USA,CHN,-4.0
20000119,USA,CHN,1.0
20000119,CHN,USA,1.0
20000119,USA,CHN,1.0
20000119,CHN,USA,6.0
20000119,CHN,USA,0.0
20000119,USA,CHN,-5.0
20000119,CHN,USA,6.0
20000119,USA,CHN,-4.0
20000119,USA,CHN,1.0
20000119,USA,CHN,4.0
20000119,USA,CHN,5.2
20000119,USA,CHN,1.0
20000119,USA,CHN,1.9
20000119,USA,CHN,-5.0
20000119,CHN,USA,4.0
20000120,CHN,USA,3.5
20000120,CHN,USA,4.0
20000120,CHN,USA,-2.0
20000120,CHN,USA,4.0
20000120,USA,CHN,3.5
20000120,CHN,USA,-4.4
20000120,USA,CHN,1.9
20000120,CHN,USA,0.4
20000120,CHN,USA,-4.0
20000120,USA,CHN,-5.0
20000120,USA,CHN,3.0
20000120,CHN,USA,2.8
20000120,CHN,USA,4.0
20000120,USA,CHN,4.0
20000120,USA,CHN,4.0
20000120,USA,CHN,-5.0
20000120,USA,CHN,1.9
20000120,CHN,USA,-4.4
20000120,USA,CHN,0.4
20000120,CHN,USA,-2.0
20000120,USA,CHN,1.9
20000120,USA,CHN,1.9
20000120,CHN,USA,4.0
20000120,USA,CHN,-5.0
20000120,CHN,USA,-2.0
20000120,CHN,USA,2.8
20000120,CHN,USA,-2.0
20000120,USA,CHN,3.0
20000120,CHN,USA,-5.0
20000120,USA,CHN,1.9
20000120,CHN,USA,2.8
20000120,USA,CHN,3.0
20000120,CHN,USA,-0.3
20000120,CHN,USA,2.8
20000120,CHN,USA,-0.1
20000120,CHN,USA,4.0
20000120,CHN,USA,-0.3
20000120,USA,CHN,0.4
20000120,CHN,USA,-2.0
20000120,CHN,USA,-4.4
20000120,CHN,USA,-2.0
20000120,CHN,USA,0.4
20000120,USA,CHN,3.4
20000120,CHN,USA,2.8
20000120,USA,CHN,3.0
20000120,CHN,USA,-2.0
20000120,CHN,USA,6.4
20000121,CHN,USA,2.8
20000121,USA,CHN,-2.0
20000121,CHN,USA,4.0
20000121,CHN,USA,-0.3
20000121,CHN,USA,-0.3
20000121,USA,CHN,4.0
20000121,CHN,USA,4.0
20000121,CHN,USA,-0.3
20000121,CHN,USA,-0.3
20000121,USA,CHN,4.0
20000121,USA,CHN,5.2
20000121,CHN,USA,6.4
20000121,USA,CHN,1.9
20000121,USA,CHN,4.0
20000122,USA,CHN,4.0
20000122,CHN,USA,7.0
20000122,CHN,USA,7.0
20000122,CHN,USA,5.2
20000122,CHN,USA,4.0
20000122,CHN,USA,7.0
20000122,USA,CHN,-7.0
20000122,CHN,USA,0.0
20000122,USA,CHN,1.0
20000122,USA,CHN,-5.0
20000122,CHN,USA,1.9
20000122,CHN,USA,4.0
20000122,CHN,USA,1.0
20000122,USA,CHN,2.8
20000122,CHN,USA,8.0
20000122,USA,CHN,4.0
20000122,CHN,USA,0.0
20000122,CHN,USA,4.0
20000122,USA,CHN,8.0
20000122,USA,CHN,-5.0
20000122,USA,CHN,7.0
20000122,CHN,USA,7.0
20000122,CHN,USA,4.0
20000122,CHN,USA,7.0
20000122,CHN,USA,1.9
20000122,USA,CHN,1.0
20000122,USA,CHN,0.4
20000122,CHN,USA,8.0
20000122,CHN,USA,0.0
20000122,CHN,USA,7.0
20000122,USA,CHN,7.0
20000122,CHN,USA,1.9
20000122,USA,CHN,7.0
20000122,USA,CHN,-5.0
20000122,CHN,USA,7.0
20000122,CHN,USA,4.0
20000122,CHN,USA,1.0
20000122,USA,CHN,2.8
20000122,CHN,USA,0.0
20000122,CHN,USA,5.2
20000122,USA,CHN,4.0
20000122,CHN,USA,7.0
20000122,CHN,USA,1.9
20000123,USA,CHN,-4.4
20000123,CHN,USA,5.2
20000123,USA,CHN,-4.4
20000123,CHN,USA,5.2
20000124,CHN,USA,4.0
20000124,CHN,USA,3.5
20000124,USA,CHN,1.0
20000124,USA,CHN,1.0
20000124,USA,CHN,4.0
20000124,USA,CHN,3.5
20000124,USA,CHN,4.0
20000124,CHN,USA,1.0
20000124,USA,CHN,8.0
20000124,CHN,USA,8.0
20000124,CHN,USA,4.0
20000124,USA,CHN,1.0
20000124,USA,CHN,4.0
20000124,CHN,USA,1.0
20000124,CHN,USA,1.0
20000124,CHN,USA,4.0
20000125,USA,CHN,3.4
20000125,CHN,USA,8.0
20000125,CHN,USA,7.0
20000125,USA,CHN,1.0
20000125,USA,CHN,5.2
20000125,CHN,USA,0.0
20000125,USA,CHN,-5.0
20000125,USA,CHN,7.0
20000125,USA,CHN,4.0
20000125,USA,CHN,-5.0
20000125,USA,CHN,5.2
20000125,USA,CHN,1.0
20000125,USA,CHN,7.0
20000125,USA,CHN,-5.0
20000125,CHN,USA,8.0
20000125,USA,CHN,8.0
20000125,USA,CHN,7.0
20000125,USA,CHN,-5.0
20000125,USA,CHN,1.0
20000125,CHN,USA,3.0
20000125,CHN,USA,0.0
20000125,CHN,USA,1.0
20000125,CHN,USA,3.0
20000125,CHN,USA,1.0
20000125,USA,CHN,-5.0
20000125,CHN,USA,7.0
20000125,USA,CHN,5.2
20000125,USA,CHN,3.4
20000125,USA,CHN,3.4
20000125,CHN,USA,4.0
20000125,USA,CHN,1.0
20000125,USA,CHN,-5.0
20000125,CHN,USA,-5.0
20000125,USA,CHN,3.4
20000125,CHN,USA,1.0
20000125,CHN,USA,1.0
20000125,USA,CHN,-5.0
20000125,CHN,USA,-5.0
20000125,USA,CHN,4.0
20000125,USA,CHN,8.0
20000125,CHN,USA,7.0
20000126,USA,CHN,0.0
20000126,USA,CHN,2.8
20000126,CHN,USA,1.0
20000126,USA,CHN,2.8
20000126,CHN,USA,-0.3
20000126,CHN,USA,-4.0
20000126,CHN,USA,1.9
20000126,CHN,USA,1.9
20000126,CHN,USA,1.0
20000126,CHN,USA,1.9
20000126,CHN,USA,1.9
20000126,CHN,USA,-7.0
20000126,USA,CHN,2.8
20000126,USA,CHN,2.8
20000126,CHN,USA,-4.0
20000126,USA,CHN,-7.0
20000126,USA,CHN,1.0
20000126,CHN,USA,1.0
20000126,CHN,USA,-7.0
20000126,CHN,USA,1.0
20000126,USA,CHN,1.0
20000127,USA,CHN,1.9
20000127,CHN,USA,8.0
20000127,USA,CHN,-0.4
20000127,CHN,USA,2.8
20000127,CHN,USA,-4.0
20000127,USA,CHN,-4.4
20000127,USA,CHN,7.0
20000127,CHN,USA,4.0
20000127,CHN,USA,5.2
20000127,USA,CHN,4.0
20000127,CHN,USA,4.0
20000127,USA,CHN,4.0
20000127,USA,CHN,1.9
20000127,CHN,USA,-2.0
20000127,CHN,USA,7.0
20000127,CHN,USA,-10.0
20000127,CHN,USA,4.0
20000127,USA,CHN,-0.4
20000127,CHN,USA,5.2
20000127,CHN,USA,-0.4
20000127,CHN,USA,9.0
20000127,CHN,USA,4.0
20000127,CHN,USA,4.0
20000127,USA,CHN,1.9
20000127,CHN,USA,7.0
20000127,CHN,USA,0.0
20000127,CHN,USA,5.2
20000127,CHN,USA,4.0
20000127,CHN,USA,5.2
20000127,USA,CHN,4.0
20000127,CHN,USA,5.2
20000127,CHN,USA,1.9
