SQLDATE,a1,a2,GoldsteinScale
20000102,GBR,IRN,4.0
20000102,GBR,IRN,4.0
20000102,GBR,IRN,4.0
20000102,IRN,GBR,4.0
20000102,IRN,GBR,4.0
20000102,GBR,IRN,4.0
20000103,IRN,GBR,-6.5
20000103,GBR,IRN,0.0
20000103,GBR,IRN,0.0
20000103,IRN,GBR,3.4
20000103,GBR,IRN,0.0
20000103,GBR,IRN,2.8
20000103,IRN,GBR,1.9
20000103,IRN,GBR,-2.0
20000103,IRN,GBR,3.4
20000103,IRN,GBR,-6.5
20000103,GBR,IRN,0.0
20000103,IRN,GBR,-6.5
20000103,IRN,GBR,-2.0
20000103,IRN,GBR,1.9
20000104,GBR,IRN,2.8
20000104,IRN,GBR,-6.5
20000104,IRN,GBR,-6.5
20000104,IRN,GBR,1.0
20000104,IRN,GBR,1.0
20000104,GBR,IRN,-0.4
20000104,IRN,GBR,-6.5
20000104,IRN,GBR,1.9
20000104,IRN,GBR,1.0
20000104,GBR,IRN,-0.4
20000104,IRN,GBR,-6.5
20000104,IRN,GBR,1.0
20000104,GBR,IRN,2.8
20000104,IRN,GBR,-6.5
20000104,IRN,GBR,-6.5
20000104,IRN,GBR,1.9
20000104,IRN,GBR,-6.5
20000105,IRN,GBR,1.9
20000105,IRN,GBR,-6.5
20000105,IRN,GBR,3.0
20000105,IRN,GBR,-6.5
20000105,GBR,IRN,2.8
20000105,GBR,IRN,4.0
20000105,IRN,GBR,1.9
20000105,GBR,IRN,0.4
20000105,IRN,GBR,1.9
20000105,IRN,GBR,1.9
20000105,IRN,GBR,4.0
20000105,GBR,IRN,0.4
20000105,GBR,IRN,2.8
20000105,GBR,IRN,2.8
20000106,IRN,GBR,4.0
20000106,IRN,GBR,2.8
20000106,IRN,GBR,1.9
20000106,GBR,IRN,0.0
20000106,GBR,IRN,1.9
20000106,GBR,IRN,4.0
20000106,GBR,IRN,0.0
20000106,IRN,GBR,2.8
20000106,GBR,IRN,4.0
20000106,GBR,IRN,4.0
20000106,IRN,GBR,3.0
20000106,GBR,IRN,4.0
20000106,IRN,GBR,4.0
20000106,IRN,GBR,4.0
20000106,GBR,IRN,2.8
20000106,IRN,GBR,4.0
20000106,GBR,IRN,2.8
20000106,IRN,GBR,4.0
20000106,IRN,GBR,0.0
20000106,GBR,IRN,4.0
20000106,GBR,IRN,7.0
20000106,IRN,GBR,1.9
20000106,GBR,IRN,2.8
20000106,IRN,GBR,1.9
20000106,IRN,GBR,1.9
20000106,GBR,IRN,1.9
20000106,GBR,IRN,4.0
20000106,GBR,IRN,2.8
20000106,GBR,IRN,4.0
20000106,IRN,GBR,1.9
20000106,GBR,IRN,2.8
20000106,GBR,IRN,1.9
20000106,IRN,GBR,0.0
20000106,GBR,IRN,7.0
20000106,IRN,GBR,3.4
20000106,GBR,IRN,0.0
20000106,IRN,GBR,-4.0
20000106,GBR,IRN,1.9
20000106,IRN,GBR,1.9
20000106,GBR,IRN,4.0
20000106,IRN,GBR,3.0
20000106,GBR,IRN,0.0
20000106,GBR,IRN,2.8
20000106,IRN,GBR,1.9
20000106,IRN,GBR,7.0
20000106,IRN,GBR,4.0
20000106,GBR,IRN,4.0
20000106,IRN,GBR,4.0
20000106,GBR,IRN,4.0
20000106,IRN,GBR,4.0
20000106,IRN,GBR,7.0
20000106,IRN,GBR,4.0
20000106,IRN,GBR,4.0
20000106,IRN,GBR,1.9
20000106,GBR,IRN,2.8
20000106,GBR,IRN,2.8
20000106,IRN,GBR,4.0
20000106,IRN,GBR,1.9
20000106,IRN,GBR,2.8
20000106,GBR,IRN,4.0
20000106,IRN,GBR,1.9
20000106,GBR,IRN,4.0
20000106,IRN,GBR,4.0
20000106,GBR,IRN,4.0
20000106,GBR,IRN,0.0
20000106,GBR,IRN,4.0
20000106,IRN,GBR,7.0
20000106,GBR,IRN,4.0
20000106,GBR,IRN,2.8
20000106,IRN,GBR,4.0
20000106,IRN,GBR,2.8
20000106,IRN,GBR,1.9
20000106,GBR,IRN,0.0
20000106,IRN,GBR,4.0
20000106,GBR,IRN,0.0
20000106,IRN,GBR,0.0
20000106,IRN,GBR,3.0
20000106,IRN,GBR,-4.0
20000107,IRN,GBR,-6.5
20000107,GBR,IRN,7.0
20000107,IRN,GBR,0.0
20000107,GBR,IRN,4.0
20000107,IRN,GBR,-2.0
20000107,IRN,GBR,7.0
20000107,IRN,GBR,7.0
20000107,IRN,GBR,4.0
20000107,GBR,IRN,4.0
20000107,IRN,GBR,1.9
20000107,GBR,IRN,4.0
20000107,IRN,GBR,1.9
20000107,GBR,IRN,7.0
20000107,IRN,GBR,1.0
20000107,IRN,GBR,7.0
20000107,GBR,IRN,2.8
20000107,IRN,GBR,4.0
20000107,GBR,IRN,2.8
20000107,IRN,GBR,1.9
20000107,GBR,IRN,7.0
20000107,IRN,GBR,-6.5
20000107,GBR,IRN,2.8
20000107,IRN,GBR,4.0
20000107,IRN,GBR,-2.0
20000107,IRN,GBR,-4.0
20000107,IRN,GBR,4.0
20000107,GBR,IRN,2.8
20000107,IRN,GBR,4.0
20000107,GBR,IRN,2.8
20000107,GBR,IRN,4.0
20000107,IRN,GBR,1.9
20000107,IRN,GBR,-4.0
20000107,GBR,IRN,2.8
20000107,GBR,IRN,2.8
20000107,IRN,GBR,4.0
20000107,IRN,GBR,1.9
20000107,GBR,IRN,3.4
20000107,GBR,IRN,2.8
20000107,GBR,IRN,2.8
20000107,IRN,GBR,4.0
20000107,GBR,IRN,7.0
20000107,GBR,IRN,2.8
20000107,IRN,GBR,7.0
20000107,IRN,GBR,1.0
20000107,IRN,GBR,1.9
20000107,IRN,GBR,1.0
20000107,IRN,GBR,1.9
20000107,GBR,IRN,4.0
20000107,IRN,GBR,1.0
20000107,IRN,GBR,1.9
20000107,IRN,GBR,1.0
20000107,IRN,GBR,4.0
20000107,IRN,GBR,1.9
20000107,GBR,IRN,4.0
20000107,GBR,IRN,3.4
20000107,IRN,GBR,1.9
20000107,GBR,IRN,2.8
20000107,IRN,GBR,1.9
20000107,GBR,IRN,-0.4
20000107,GBR,IRN,4.0
20000108,GBR,IRN,3.4
20000108,GBR,IRN,3.4
20000108,GBR,IRN,-2.0
20000108,IRN,GBR,3.4
20000108,GBR,IRN,2.8
20000108,IRN,GBR,1.9
20000108,GBR,IRN,3.5
20000108,GBR,IRN,3.4
20000108,GBR,IRN,3.5
20000108,GBR,IRN,2.8
20000108,GBR,IRN,3.4
20000108,IRN,GBR,7.0
20000108,IRN,GBR,1.9
20000108,GBR,IRN,2.8
20000108,GBR,IRN,2.8
20000108,GBR,IRN,6.4
20000108,IRN,GBR,1.9
20000108,IRN,GBR,7.0
20000109,GBR,IRN,3.5
20000109,GBR,IRN,7.0
20000109,IRN,GBR,7.0
20000109,IRN,GBR,2.8
20000109,IRN,GBR,-5.8
20000109,GBR,IRN,1.9
20000109,GBR,IRN,1.0
20000109,IRN,GBR,-5.8
20000109,IRN,GBR,2.8
20000109,GBR,IRN,1.9
20000109,IRN,GBR,1.0
20000109,GBR,IRN,7.0
20000109,IRN,GBR,-5.8
20000109,IRN,GBR,-6.5
20000109,IRN,GBR,7.0
20000109,GBR,IRN,4.0
20000109,IRN,GBR,1.9
20000109,GBR,IRN,2.8
20000109,GBR,IRN,2.8
20000109,IRN,GBR,1.9
20000109,GBR,IRN,2.8
20000109,IRN,GBR,7.0
20000109,GBR,IRN,1.9
20000109,IRN,GBR,7.0
20000109,IRN,GBR,1.9
20000109,GBR,IRN,1.0
20000109,GBR,IRN,1.9
20000109,GBR,IRN,7.0
20000109,IRN,GBR,1.9
20000109,IRN,GBR,1.0
20000109,GBR,IRN,2.8
20000109,GBR,IRN,2.8
20000109,IRN,GBR,2.8
20000109,IRN,GBR,2.8
20000109,IRN,GBR,1.9
20000109,GBR,IRN,-4.0
20000109,IRN,GBR,1.9
20000109,IRN,GBR,1.9
20000109,GBR,IRN,3.5
20000109,IRN,GBR,-6.5
20000109,IRN,GBR,4.0
20000109,IRN,GBR,1.9
20000109,GBR,IRN,7.0
20000109,IRN,GBR,1.9
20000109,IRN,GBR,-5.8
20000109,GBR,IRN,2.8
20000109,GBR,IRN,2.8
20000109,GBR,IRN,2.8
20000109,GBR,IRN,-4.0
20000109,GBR,IRN,7.0
20000109,GBR,IRN,2.8
20000110,IRN,GBR,2.8
20000110,GBR,IRN,7.0
20000110,IRN,GBR,2.8
20000110,GBR,IRN,2.8
20000110,GBR,IRN,2.8
20000110,GBR,IRN,4.0
20000110,GBR,IRN,4.0
20000110,GBR,IRN,3.5
20000110,IRN,GBR,1.9
20000110,GBR,IRN,7.0
20000110,IRN,GBR,4.0
20000110,GBR,IRN,3.5
20000110,GBR,IRN,0.0
20000110,IRN,GBR,3.0
20000110,IRN,GBR,1.0
20000110,IRN,GBR,2.5
20000110,GBR,IRN,3.0
20000110,GBR,IRN,2.8
20000110,IRN,GBR,0.0
20000110,GBR,IRN,6.4
20000110,GBR,IRN,5.0
20000110,GBR,IRN,4.0
20000110,GBR,IRN,3.5
20000110,IRN,GBR,1.9
20000110,IRN,GBR,7.0
20000110,IRN,GBR,-0.4
20000110,IRN,GBR,7.0
20000110,GBR,IRN,2.8
20000110,IRN,GBR,1.9
20000110,GBR,IRN,1.0
20000110,GBR,IRN,3.4
20000110,GBR,IRN,2.8
20000110,IRN,GBR,4.0
20000110,GBR,IRN,8.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,1.9
20000110,GBR,IRN,1.0
20000110,IRN,GBR,4.0
20000110,GBR,IRN,1.9
20000110,IRN,GBR,-5.0
20000110,GBR,IRN,3.0
20000110,GBR,IRN,4.0
20000110,IRN,GBR,-5.0
20000110,IRN,GBR,3.5
20000110,GBR,IRN,0.0
20000110,IRN,GBR,0.0
20000110,IRN,GBR,6.4
20000110,IRN,GBR,-2.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,2.8
20000110,GBR,IRN,1.0
20000110,GBR,IRN,5.0
20000110,IRN,GBR,-4.0
20000110,GBR,IRN,3.0
20000110,GBR,IRN,3.4
20000110,IRN,GBR,1.0
20000110,IRN,GBR,2.8
20000110,IRN,GBR,-4.0
20000110,IRN,GBR,4.0
20000110,GBR,IRN,4.0
20000110,IRN,GBR,4.0
20000110,GBR,IRN,2.8
20000110,GBR,IRN,2.8
20000110,GBR,IRN,-2.0
20000110,IRN,GBR,1.9
20000110,GBR,IRN,1.9
20000110,IRN,GBR,3.4
20000110,IRN,GBR,1.9
20000110,GBR,IRN,2.8
20000110,GBR,IRN,2.8
20000110,IRN,GBR,6.0
20000110,IRN,GBR,0.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,1.9
20000110,IRN,GBR,-5.8
20000110,IRN,GBR,1.9
20000110,IRN,GBR,4.0
20000110,GBR,IRN,3.4
20000110,GBR,IRN,1.0
20000110,IRN,GBR,8.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,4.0
20000110,IRN,GBR,3.0
20000110,GBR,IRN,0.0
20000110,IRN,GBR,-5.8
20000110,GBR,IRN,2.8
20000110,GBR,IRN,4.0
20000110,GBR,IRN,1.9
20000110,GBR,IRN,2.8
20000110,GBR,IRN,1.0
20000110,GBR,IRN,2.8
20000110,IRN,GBR,0.0
20000110,GBR,IRN,3.5
20000110,GBR,IRN,2.8
20000110,IRN,GBR,1.0
20000110,IRN,GBR,2.8
20000110,IRN,GBR,4.0
20000110,GBR,IRN,7.0
20000110,IRN,GBR,1.9
20000110,GBR,IRN,3.0
20000110,GBR,IRN,5.0
20000110,IRN,GBR,-5.0
20000110,IRN,GBR,1.0
20000110,IRN,GBR,5.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,3.5
20000110,GBR,IRN,1.9
20000110,GBR,IRN,3.5
20000110,GBR,IRN,2.8
20000110,GBR,IRN,2.8
20000110,GBR,IRN,-10.0
20000110,IRN,GBR,3.5
20000110,IRN,GBR,1.9
20000110,IRN,GBR,4.0
20000110,GBR,IRN,1.0
20000110,GBR,IRN,1.0
20000110,GBR,IRN,0.0
20000110,IRN,GBR,-5.0
20000110,IRN,GBR,1.0
20000110,IRN,GBR,1.9
20000110,GBR,IRN,3.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,-5.8
20000110,IRN,GBR,1.9
20000110,GBR,IRN,2.5
20000110,IRN,GBR,0.0
20000110,GBR,IRN,-5.0
20000110,IRN,GBR,7.0
20000110,GBR,IRN,-2.0
20000110,IRN,GBR,0.0
20000110,IRN,GBR,3.5
20000110,GBR,IRN,7.0
20000110,IRN,GBR,3.0
20000110,GBR,IRN,1.0
20000110,GBR,IRN,4.0
20000110,IRN,GBR,-5.0
20000110,IRN,GBR,-5.8
20000110,IRN,GBR,0.0
20000110,IRN,GBR,1.0
20000110,IRN,GBR,5.0
20000110,IRN,GBR,3.4
20000110,IRN,GBR,1.0
20000110,IRN,GBR,0.0
20000110,IRN,GBR,1.9
20000110,GBR,IRN,0.0
20000110,IRN,GBR,4.0
20000110,GBR,IRN,2.8
20000110,IRN,GBR,4.0
20000110,IRN,GBR,3.4
20000110,IRN,GBR,3.5
20000110,IRN,GBR,4.0
20000110,GBR,IRN,0.0
20000110,GBR,IRN,2.8
20000110,GBR,IRN,2.8
20000110,IRN,GBR,1.0
20000110,GBR,IRN,2.8
20000110,IRN,GBR,3.4
20000110,GBR,IRN,1.0
20000110,GBR,IRN,2.8
20000110,IRN,GBR,3.5
20000110,GBR,IRN,4.0
20000110,GBR,IRN,3.2
20000110,GBR,IRN,1.9
20000110,GBR,IRN,1.0
20000110,IRN,GBR,6.4
20000110,GBR,IRN,2.8
20000110,GBR,IRN,1.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,1.9
20000110,IRN,GBR,3.4
20000110,GBR,IRN,3.0
20000110,IRN,GBR,4.0
20000110,GBR,IRN,3.2
20000110,IRN,GBR,1.9
20000110,IRN,GBR,1.0
20000110,GBR,IRN,2.8
20000110,IRN,GBR,1.9
20000110,IRN,GBR,4.0
20000110,IRN,GBR,1.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,0.0
20000110,IRN,GBR,3.5
20000110,GBR,IRN,3.4
20000110,GBR,IRN,2.8
20000110,GBR,IRN,1.9
20000110,GBR,IRN,2.8
20000110,GBR,IRN,2.8
20000110,IRN,GBR,-0.4
20000110,IRN,GBR,6.0
20000110,GBR,IRN,4.0
20000110,GBR,IRN,3.4
20000110,IRN,GBR,1.0
20000110,IRN,GBR,3.5
20000110,GBR,IRN,5.0
20000110,IRN,GBR,4.0
20000110,GBR,IRN,1.9
20000110,GBR,IRN,3.4
20000110,IRN,GBR,1.9
20000110,IRN,GBR,-6.5
20000110,IRN,GBR,-6.5
20000110,GBR,IRN,-5.0
20000110,GBR,IRN,-10.0
20000110,GBR,IRN,2.8
20000110,IRN,GBR,1.9
20000110,IRN,GBR,1.9
20000110,GBR,IRN,4.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,1.9
20000110,GBR,IRN,2.5
20000110,GBR,IRN,2.8
20000110,GBR,IRN,6.4
20000110,GBR,IRN,1.9
20000110,GBR,IRN,0.0
20000110,IRN,GBR,1.0
20000110,IRN,GBR,7.0
20000110,IRN,GBR,-5.0
20000110,IRN,GBR,1.0
20000110,GBR,IRN,4.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,3.5
20000110,IRN,GBR,1.9
20000110,GBR,IRN,1.0
20000110,IRN,GBR,3.4
20000110,IRN,GBR,7.0
20000110,GBR,IRN,1.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,0.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,4.0
20000110,GBR,IRN,-2.0
20000110,IRN,GBR,3.5
20000110,IRN,GBR,-5.8
20000110,IRN,GBR,4.0
20000110,IRN,GBR,0.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,4.0
20000110,IRN,GBR,-2.0
20000110,GBR,IRN,1.0
20000110,IRN,GBR,2.8
20000110,GBR,IRN,7.0
20000110,IRN,GBR,4.0
20000110,GBR,IRN,1.0
20000110,GBR,IRN,-8.0
20000110,IRN,GBR,1.9
20000110,GBR,IRN,6.4
20000110,GBR,IRN,2.8
20000110,IRN,GBR,1.9
20000110,IRN,GBR,3.5
20000110,GBR,IRN,3.0
20000110,GBR,IRN,4.0
20000110,IRN,GBR,2.5
20000110,IRN,GBR,3.4
20000110,IRN,GBR,2.8
20000110,IRN,GBR,1.9
20000110,IRN,GBR,6.4
20000110,IRN,GBR,1.9
20000110,GBR,IRN,2.8
20000110,IRN,GBR,-2.0
20000110,IRN,GBR,6.0
20000110,GBR,IRN,4.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,1.0
20000110,GBR,IRN,2.8
20000110,GBR,IRN,2.8
20000110,GBR,IRN,1.0
20000110,IRN,GBR,-4.0
20000110,GBR,IRN,7.0
20000110,GBR,IRN,5.0
20000110,IRN,GBR,4.0
20000110,IRN,GBR,-2.0
20000110,GBR,IRN,-2.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,1.9
20000110,GBR,IRN,4.0
20000110,GBR,IRN,4.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,-5.8
20000110,GBR,IRN,4.0
20000110,GBR,IRN,2.8
20000110,GBR,IRN,3.5
20000110,IRN,GBR,2.8
20000110,GBR,IRN,2.8
20000110,GBR,IRN,1.0
20000110,IRN,GBR,1.9
20000110,IRN,GBR,-5.8
20000110,IRN,GBR,1.0
20000110,IRN,GBR,-6.5
20000110,IRN,GBR,5.0
20000110,IRN,GBR,4.0
20000110,IRN,GBR,3.5
20000110,IRN,GBR,1.9
20000110,IRN,GBR,4.0
20000110,GBR,IRN,5.0
20000110,GBR,IRN,4.0
20000110,GBR,IRN,2.8
20000110,IRN,GBR,1.9
20000110,GBR,IRN,4.0
20000110,GBR,IRN,-8.0
20000110,IRN,GBR,4.0
20000110,IRN,GBR,-5.8
20000110,GBR,IRN,2.8
20000110,GBR,IRN,2.8
20000110,IRN,GBR,1.0
20000110,IRN,GBR,-6.5
20000110,GBR,IRN,2.8
20000111,IRN,GBR,1.9
20000111,GBR,IRN,-2.0
20000111,GBR,IRN,4.0
20000111,GBR,IRN,2.8
20000111,GBR,IRN,1.0
20000111,IRN,GBR,1.9
20000111,GBR,IRN,3.5
20000111,IRN,GBR,7.0
20000111,GBR,IRN,-2.0
20000111,IRN,GBR,1.9
20000111,IRN,GBR,4.0
20000111,GBR,IRN,2.8
20000111,IRN,GBR,-2.0
20000111,IRN,GBR,1.0
20000111,IRN,GBR,1.9
20000111,GBR,IRN,1.9
20000111,IRN,GBR,7.0
20000111,GBR,IRN,8.0
20000111,IRN,GBR,1.9
20000111,IRN,GBR,2.8
20000111,GBR,IRN,-2.0
20000111,GBR,IRN,1.0
20000111,GBR,IRN,8.0
20000111,IRN,GBR,1.0
20000111,IRN,GBR,1.0
20000111,GBR,IRN,3.5
20000111,IRN,GBR,1.9
20000111,GBR,IRN,1.9
20000111,IRN,GBR,-2.0
20000111,IRN,GBR,1.9
20000111,GBR,IRN,4.0
20000111,GBR,IRN,2.8
20000111,IRN,GBR,1.9
20000111,IRN,GBR,3.5
20000111,GBR,IRN,2.8
20000111,GBR,IRN,2.8
20000111,GBR,IRN,1.9
20000111,GBR,IRN,2.8
20000111,GBR,IRN,2.8
20000111,IRN,GBR,1.0
20000111,IRN,GBR,3.5
20000111,GBR,IRN,2.8
20000111,GBR,IRN,2.8
20000111,IRN,GBR,2.8
20000111,GBR,IRN,-2.0
20000111,GBR,IRN,4.0
20000111,IRN,GBR,-2.0
20000111,GBR,IRN,2.8
20000111,IRN,GBR,0.0
20000111,GBR,IRN,8.0
20000111,IRN,GBR,1.9
20000111,GBR,IRN,0.4
20000111,IRN,GBR,3.5
20000111,IRN,GBR,1.9
20000111,GBR,IRN,8.0
20000111,GBR,IRN,-2.0
20000111,IRN,GBR,7.0
20000111,IRN,GBR,1.9
20000111,GBR,IRN,2.8
20000111,IRN,GBR,0.0
20000111,IRN,GBR,-2.0
20000111,GBR,IRN,7.0
20000111,IRN,GBR,1.9
20000111,IRN,GBR,1.0
20000111,IRN,GBR,3.5
20000111,GBR,IRN,7.0
20000111,IRN,GBR,4.0
20000111,IRN,GBR,3.4
20000111,IRN,GBR,1.0
20000111,GBR,IRN,1.0
20000111,IRN,GBR,8.0
20000111,IRN,GBR,1.9
20000111,IRN,GBR,0.0
20000111,IRN,GBR,1.9
20000111,IRN,GBR,8.0
20000111,GBR,IRN,3.5
20000111,IRN,GBR,4.0
20000111,GBR,IRN,1.0
20000111,IRN,GBR,3.4
20000111,IRN,GBR,1.0
20000111,IRN,GBR,-2.0
20000111,IRN,GBR,7.0
20000111,IRN,GBR,0.0
20000111,IRN,GBR,1.9
20000111,IRN,GBR,6.4
20000111,IRN,GBR,0.0
20000111,GBR,IRN,3.5
20000111,GBR,IRN,4.0
20000111,GBR,IRN,2.8
20000111,GBR,IRN,1.0
20000111,GBR,IRN,2.8
20000111,IRN,GBR,1.0
20000111,IRN,GBR,3.0
20000111,GBR,IRN,7.0
20000111,IRN,GBR,8.0
20000111,IRN,GBR,-2.0
20000111,IRN,GBR,1.0
20000111,IRN,GBR,3.5
20000111,GBR,IRN,7.0
20000111,IRN,GBR,6.4
20000111,IRN,GBR,1.9
20000111,GBR,IRN,2.8
20000111,IRN,GBR,2.8
20000111,IRN,GBR,-2.0
20000111,GBR,IRN,1.9
20000111,IRN,GBR,3.0
20000111,IRN,GBR,2.8
20000111,GBR,IRN,3.5
20000111,GBR,IRN,1.0
20000111,GBR,IRN,2.8
20000111,GBR,IRN,1.0
20000111,GBR,IRN,1.0
20000111,GBR,IRN,2.8
20000111,IRN,GBR,1.9
20000111,IRN,GBR,3.5
20000111,GBR,IRN,7.0
20000111,GBR,IRN,7.0
20000111,GBR,IRN,3.4
20000111,IRN,GBR,4.0
20000111,GBR,IRN,2.8
20000111,IRN,GBR,1.9
20000111,IRN,GBR,1.9
20000111,IRN,GBR,3.4
20000111,IRN,GBR,6.4
20000111,IRN,GBR,7.0
20000111,GBR,IRN,4.0
20000111,IRN,GBR,7.0
20000111,IRN,GBR,3.5
20000111,GBR,IRN,-2.0
20000111,GBR,IRN,3.4
20000111,IRN,GBR,1.9
20000111,IRN,GBR,1.0
20000111,GBR,IRN,2.8
20000111,IRN,GBR,8.0
20000111,IRN,GBR,7.0
20000111,IRN,GBR,-2.0
20000111,IRN,GBR,4.0
20000112,IRN,GBR,1.9
20000112,GBR,IRN,1.9
20000112,IRN,GBR,4.0
20000112,IRN,GBR,4.0
20000112,IRN,GBR,2.8
20000112,GBR,IRN,2.8
20000112,GBR,IRN,0.0
20000112,IRN,GBR,1.0
20000112,IRN,GBR,7.0
20000112,IRN,GBR,3.0
20000112,IRN,GBR,1.9
20000112,GBR,IRN,-10.0
20000112,GBR,IRN,0.0
20000112,GBR,IRN,2.8
20000112,IRN,GBR,3.0
20000112,GBR,IRN,-10.0
20000112,GBR,IRN,2.8
20000112,GBR,IRN,2.8
20000112,GBR,IRN,2.8
20000112,GBR,IRN,2.8
20000112,GBR,IRN,3.0
20000112,IRN,GBR,1.0
20000112,GBR,IRN,3.4
20000112,IRN,GBR,7.0
20000112,IRN,GBR,2.8
20000112,IRN,GBR,7.0
20000112,GBR,IRN,3.0
20000112,IRN,GBR,1.0
20000112,GBR,IRN,4.0
20000112,IRN,GBR,1.9
20000112,IRN,GBR,7.0
20000112,GBR,IRN,1.0
20000112,GBR,IRN,-10.0
20000112,GBR,IRN,7.0
20000112,GBR,IRN,1.9
20000112,IRN,GBR,1.9
20000112,IRN,GBR,3.0
20000112,IRN,GBR,1.9
20000112,GBR,IRN,1.0
20000112,IRN,GBR,7.0
20000112,GBR,IRN,2.8
20000112,GBR,IRN,7.0
20000112,GBR,IRN,7.0
20000112,GBR,IRN,-6.5
20000112,IRN,GBR,1.9
20000112,IRN,GBR,7.0
20000112,GBR,IRN,1.0
20000112,GBR,IRN,4.0
20000112,GBR,IRN,7.0
20000112,IRN,GBR,1.9
20000112,IRN,GBR,1.9
20000112,GBR,IRN,2.8
20000112,IRN,GBR,7.0
20000112,GBR,IRN,3.0
20000112,IRN,GBR,-2.0
20000113,GBR,IRN,1.9
20000113,GBR,IRN,3.5
20000113,IRN,GBR,2.8
20000113,IRN,GBR,1.9
20000113,GBR,IRN,1.0
20000113,GBR,IRN,2.8
20000113,GBR,IRN,3.5
20000113,GBR,IRN,3.5
20000113,IRN,GBR,3.5
20000113,IRN,GBR,3.5
20000113,IRN,GBR,1.9
20000113,IRN,GBR,6.0
20000113,GBR,IRN,3.5
20000113,IRN,GBR,1.9
20000113,IRN,GBR,2.8
20000113,IRN,GBR,1.9
20000113,IRN,GBR,1.0
20000113,GBR,IRN,1.0
20000113,GBR,IRN,3.4
20000113,GBR,IRN,1.0
20000113,IRN,GBR,0.0
20000113,IRN,GBR,0.0
20000113,GBR,IRN,3.5
20000113,IRN,GBR,1.0
20000113,GBR,IRN,-5.0
20000113,GBR,IRN,3.4
20000113,IRN,GBR,3.5
20000113,GBR,IRN,2.8
20000113,GBR,IRN,-5.0
20000113,GBR,IRN,1.0
20000113,IRN,GBR,6.0
20000113,GBR,IRN,2.8
20000113,GBR,IRN,2.8
20000113,GBR,IRN,6.0
20000113,IRN,GBR,1.9
20000113,GBR,IRN,8.0
20000113,IRN,GBR,1.9
20000113,GBR,IRN,2.8
20000113,IRN,GBR,1.9
20000113,IRN,GBR,1.9
20000113,IRN,GBR,1.0
20000113,IRN,GBR,3.4
20000113,IRN,GBR,3.0
20000113,IRN,GBR,1.9
20000113,IRN,GBR,8.0
20000113,GBR,IRN,2.8
20000113,IRN,GBR,3.5
20000113,IRN,GBR,1.9
20000113,IRN,GBR,-2.0
20000113,GBR,IRN,3.4
20000113,IRN,GBR,1.9
20000113,GBR,IRN,1.9
20000113,GBR,IRN,3.4
20000113,IRN,GBR,8.0
20000113,GBR,IRN,6.0
20000113,GBR,IRN,-5.0
20000113,IRN,GBR,1.0
20000113,IRN,GBR,1.9
20000113,GBR,IRN,3.5
20000113,GBR,IRN,2.8
20000113,GBR,IRN,3.5
20000115,GBR,IRN,2.8
20000115,GBR,IRN,-2.0
20000115,IRN,GBR,3.5
20000115,GBR,IRN,-2.0
20000115,GBR,IRN,2.8
20000115,GBR,IRN,3.4
20000115,IRN,GBR,1.9
20000115,GBR,IRN,2.8
20000115,GBR,IRN,3.4
20000115,IRN,GBR,1.9
20000116,GBR,IRN,2.8
20000116,IRN,GBR,1.0
20000116,IRN,GBR,1.0
20000116,GBR,IRN,1.0
20000116,GBR,IRN,2.8
20000116,IRN,GBR,1.0
20000116,IRN,GBR,1.9
20000116,GBR,IRN,1.0
20000116,IRN,GBR,1.0
20000116,IRN,GBR,1.9
20000116,IRN,GBR,1.9
20000116,GBR,IRN,2.8
20000116,IRN,GBR,1.9
20000116,IRN,GBR,0.4
20000116,IRN,GBR,1.9
20000116,GBR,IRN,1.0
20000116,IRN,GBR,0.4
20000116,GBR,IRN,2.8
20000117,IRN,GBR,7.0
20000117,GBR,IRN,0.0
20000117,GBR,IRN,3.4
20000117,GBR,IRN,0.0
20000117,GBR,IRN,-5.0
20000117,GBR,IRN,-5.0
20000117,IRN,GBR,7.0
20000117,GBR,IRN,7.0
20000117,GBR,IRN,0.4
20000117,GBR,IRN,-5.0
20000117,GBR,IRN,0.0
20000117,IRN,GBR,7.0
20000117,GBR,IRN,7.0
20000117,GBR,IRN,7.0
20000118,GBR,IRN,6.4
20000118,GBR,IRN,2.8
20000118,GBR,IRN,0.0
20000118,IRN,GBR,1.9
20000119,GBR,IRN,3.4
20000119,GBR,IRN,3.5
20000119,GBR,IRN,3.5
20000119,IRN,GBR,1.9
20000119,GBR,IRN,1.9
